SampleID	Dysbiosis_index
ERR1384365	-1.40190655278275
ERR1384092	-1.64268135899935
ERR1383930	-1.18937008653347
ERR1384035	-1.4261741980145
ERR1383822	-1.96895819497348
ERR1384370	-1.0875393877695
ERR1382478	-1.42088672467212
ERR1383355	-2.40347149774385
ERR1383588	-1.45846144712153
ERR1384527	-2.07088897538468
ERR1385043	-0.381413817346885
ERR1384190	-1.23729115693978
ERR1384634	-1.6680443356913
ERR1383216	-0.778234692332486
ERR1384751	-1.95097473682848
ERR1383204	-1.90546416964667
ERR1384999	-1.09180697480372
ERR1385181	-1.46960717724524
ERR1384969	-1.96645239543502
ERR1384506	-0.252151484010463
ERR1383535	-0.391841607316405
ERR1383845	-2.03495890901863
ERR1383958	-1.55539497785598
ERR1382697	-1.28577417504465
ERR1383274	-1.68583898120857
ERR1384157	-1.98188715423759
ERR1383773	-2.70756111687784
ERR1382533	-1.60304949843614
ERR1384293	-1.71281040480228
ERR1382766	-1.62330692506175
ERR1385408	-1.99522676606997
ERR1383999	-2.05500772349368
ERR1384802	-2.7997417614229
ERR1382366	-2.40099029892572
ERR1385257	-1.46539296908478
ERR1383022	-1.44941729442188
ERR1384054	-1.8267298438379
ERR1384832	-1.75380331396034
ERR1382617	-1.53279384057827
ERR1383127	-1.61656490357907
ERR1383450	-1.99817941960757
ERR1385535	-2.34164708895307
ERR1384528	-1.46433113575007
ERR1383947	-2.19972471220615
ERR1383859	-1.3356835407174
ERR1384211	-1.61963688051734
ERR1383449	-1.74910878181797
ERR1383028	-1.72781672172136
ERR1384972	-1.43829731670425
ERR1384270	-1.65905910203031
ERR1384868	-1.46268837719265
ERR1385228	-1.59154544295205
ERR1383934	-1.02987538017456
ERR1382882	-0.773542532289096
ERR1382682	-1.37399656998486
ERR1383802	-2.01967410856384
ERR1384043	-2.65706895671113
ERR1382432	-1.82250976415368
ERR1383041	-3.0722253812861
ERR1384218	-1.40489095306912
ERR1382546	-1.88008372375015
ERR1383133	-1.30830324526127
ERR1383288	-0.824388275797988
ERR1384397	-1.5453592293598
ERR1384499	-1.68399501239452
ERR1384106	-2.14223040923727
ERR1382647	-1.8002840156686
ERR1382389	-2.41515776611684
ERR1384815	-2.3916044140015
ERR1385213	-2.3100968488494
ERR1383135	-1.67644275316302
ERR1384061	-1.49883660649353
ERR1384649	-1.961824757762
ERR1384375	-0.306912415015025
ERR1383169	-2.36935154076542
ERR1383411	-1.59816309167941
ERR1383864	-1.56427143043856
ERR1383006	-1.94545798155964
ERR1383745	-0.987069394568435
ERR1385343	-1.14681118536745
ERR1384238	-2.35707607232138
ERR1382437	-1.76689750465009
ERR1385335	-1.2799866279184
ERR1383616	-2.25480677371079
ERR1384355	-1.68728918482204
ERR1383174	-2.27703833989481
ERR1383205	-2.24684751767968
ERR1382792	-1.91550355809725
ERR1383890	-0.822185937238532
ERR1382724	-0.748142481992064
ERR1382740	-2.62261156860099
ERR1383797	-1.79926308677935
ERR1382739	-1.04618595866704
ERR1385155	-1.24371887058472
ERR1383579	-1.75724312341486
ERR1383039	-1.66442998362417
ERR1382572	-2.24841799940143
ERR1384798	-1.58319937616053
ERR1385030	-1.72266937485519
ERR1384780	-1.66935626261911
ERR1385194	-2.43793596665443
ERR1383027	-2.69070922835356
ERR1384134	0.246112623906775
ERR1382445	-1.85169578863903
ERR1382680	-1.84014402425643
ERR1384993	-1.91580952734578
ERR1384964	-2.22595507289601
ERR1385357	-1.91096135012597
ERR1384424	-1.41361211611102
ERR1382904	-2.42504308106146
ERR1384228	-0.666835191701091
ERR1384127	-2.95850415765192
ERR1382554	-1.96361063873825
ERR1382875	-1.9557201320222
ERR1383834	-1.49350652779798
