SampleID	Dysbiosis_index
ERR1382652	-4.042983170550746
ERR1384711	-4.457314677625196
ERR1382506	-1.274076576625379
ERR1383392	-5.672425341971495
ERR1383642	-2.945475993811927
ERR1382527	-3.4377691239448054
ERR1383452	-2.78693908550351
ERR1384137	-2.2027636145875156
ERR1385515	-4.414310151120816
ERR1383156	-4.098371740417279
ERR1383556	-3.032647233899847
ERR1383324	-2.022567756905275
ERR1384816	-2.4116940562044737
ERR1383215	-1.4863549037804966
ERR1385481	-0.8539584647936668
ERR1382369	-2.6659690638669464
ERR1385285	-2.460872152996512
ERR1385103	-2.674599713205833
ERR1384516	-3.6517552046472455
ERR1383813	-0.7321884539043343
ERR1383030	-3.1967666136609534
ERR1385173	-3.6950160461860704
ERR1383965	-3.873669176093102
ERR1382806	-1.5434432312828894
ERR1382801	-1.755416446272378
ERR1383912	-2.6240623204100966
ERR1382541	-3.717743614228688
ERR1383389	-1.4219042187671105
ERR1383722	-3.050318953315559
ERR1384257	-3.2762769826146463
ERR1383225	-1.517706062314721
ERR1382897	-3.094402224715622
ERR1382496	-2.271174794422728
ERR1382397	-1.444589844356604
ERR1384183	-3.251657015841643
ERR1385121	-4.1363034446227385
ERR1383880	-4.632822139499748
ERR1383172	-3.534588978206037
ERR1383302	-1.3352424481682432
ERR1385433	-2.022567756905275
ERR1382528	-4.687167361048055
ERR1383359	-3.251657015841643
ERR1382490	-3.5523410791519585
ERR1383632	-3.897476565200646
ERR1383093	-3.415776395602749
