SampleID	Dysbiosis_index
ERR2061305	-1.4912796088913842
ERR2061488	-1.9969308031702162
ERR2061274	-1.7086848451902097
ERR2061560	-2.1760617763376104
ERR2061540	-2.1023117487835496
ERR2061473	-1.915740920430829
ERR2061406	-1.6976910020471685
ERR2061309	-1.3994393951060617
ERR2061360	-1.5667522811605448
ERR2061264	-1.3552576447111713
ERR2061537	-2.1432393696319965
ERR2061232	-1.2296664463374332
ERR2061302	-1.3640788759604712
ERR2061570	-1.8468625906786549
ERR2061304	-1.0845105525561312
ERR2061508	-2.2081933121622948
ERR2061509	-2.1580267915667224
ERR2061203	-1.2083201184117367
ERR2061457	-1.9070745565996938
ERR2061310	-1.8441235524411563
ERR2061231	-1.9307633824842132
ERR2061451	-1.7785872062286743
ERR2061517	-2.120650961182196
ERR2061342	-1.4737586735998676
ERR2061196	-1.4441534414789676
ERR2061291	-1.865142436691099
ERR2061484	-2.031447322562516
ERR2061536	-2.4258929794657695
ERR2061546	-1.5014328822890886
ERR2061470	-1.9633466410543554
ERR2061327	-1.2943713793210083
ERR2061550	-2.2648017410523074
ERR2061353	-1.3793305086826295
ERR2061533	-2.036801710534659
ERR2061573	-2.24833177691497
ERR2061375	-1.1331659719251377
ERR2061545	-1.105394607719192
ERR2061317	-1.4818325092423235
ERR2061218	-1.295509809525839
ERR2061505	-1.3720373257088534
ERR2061544	-1.0569959155462427
ERR2061446	-1.6423746624415734
ERR2061323	-1.4507338786550057
ERR2061554	-1.933982260809984
ERR2061452	-1.9812340630118361
ERR2061497	-2.035574451593476
ERR2061571	-1.9116678601016903
ERR2061482	-1.6537873114340549
ERR2061296	-2.0681723426726846
ERR2061467	-1.4528962576855033
ERR2061253	-1.316652223854582
ERR2061211	-1.5350723361402414
ERR2061438	-2.0928546602791465
ERR2061493	-1.928817585298823
ERR2061292	-1.5270942696143657
ERR2061337	-1.3845719441966964
ERR2061419	-1.26335706311066
ERR2061516	-2.2263485655623843
ERR2061300	-1.3348933549711888
ERR2061346	-1.4464654722846273
ERR2061522	-1.7203979396335023
ERR2061461	-1.9818039405776648
ERR2061559	-2.2570899505215967
ERR2061513	-1.907634123048149
ERR2061351	-1.3965112070993837
ERR2061331	-1.5764370190780952
ERR2061354	-1.2396386363943543
ERR2061324	-1.8371344641440979
ERR2061333	-1.2419216064370353
ERR2061477	-1.6795518914509657
ERR2061290	-1.6098565843916075
ERR2061200	-1.278406041866812
ERR2061569	-1.428707213854407
ERR2061344	-1.4431540277392243
ERR2061563	-1.441874828558974
ERR2061280	-1.440285722638026
ERR2061515	-1.540955318482064
ERR2061480	-1.9551287497531176
ERR2061528	-1.681238411777805
ERR2061307	-1.4063160663536831
ERR2061183	-1.7916540412853745
ERR2061190	-1.5943724449576226
ERR2061335	-1.8222835257233272
ERR2061298	-1.4650597267503205
ERR2061486	-1.047099626971721
ERR2061233	-1.389159742331108
ERR2061293	-1.5674402365059852
ERR2061462	-1.3837672413835203
ERR2061258	-1.2989119016587014
ERR2061460	-1.4575373171204835
ERR2061471	-1.9938559851371023
ERR2061465	-1.6757575776991975
ERR2061534	-2.1563534825501365
ERR2061520	-2.107121839476898
ERR2061472	-1.041577104981615
ERR2061527	-1.7520435694427856
ERR2061269	-1.5266423993547205
ERR2061481	-1.9122861620079494
ERR2061329	-1.2273060322512062
ERR2061444	-2.0184860082043006
ERR2061492	-1.4713715903626317
ERR2061475	-1.4859164061334367
ERR2061474	-1.3585734694085678
ERR2061567	-1.3443326375566735
ERR2061261	-1.0523400395613032
ERR2061562	-1.590662103983744
ERR2061376	-1.1397437903295837
ERR2061357	-1.7893360806067922
ERR2061234	-1.3290505061213052
ERR2061458	-1.887306499082211
ERR2061241	-1.6629747938715398
ERR2061294	-1.6864463500435949
ERR2061442	-1.2125316887476467
ERR2061557	-2.0217064674956067
ERR2061393	-1.561065717555535
ERR2061362	-0.9633318132758026
ERR2061479	-1.9703381047393578
ERR2061549	-2.141820926776038
ERR2061246	-1.1893155012209964
ERR2061340	-1.1797817749173167
ERR2061320	-1.616057956284913
ERR2061436	-1.5565452399214537
ERR2061312	-1.7128999952083346
ERR2061377	-1.4768915312299336
ERR2061501	-1.6959138132681302
ERR2061214	-1.5944734297707666
ERR2061489	-1.6425891658387022
ERR2061441	-1.8030225825743713
ERR2061499	-1.9237302672052774
ERR2061282	-1.21014305023131
ERR2061350	-1.2272324575102107
ERR2061352	-1.1360821825517835
ERR2061359	-1.8720671494333623
ERR2061566	-1.4168846129510553
ERR2061356	-1.36880899370199
