SampleID	Dysbiosis_index
ERR2091965	-2.158064505841023
ERR1842882	-1.806434223307768
ERR1842458	-2.016905976025106
ERR1080088	-1.6501477679271332
ERR2318083	-2.190538412706647
ERR2308631	-1.5475720908965966
ERR1842631	-1.8247343673445728
ERR2033473	-1.2957558033826693
ERR1845295	-2.011635418139242
ERR2696493	-2.23093133037703
ERR2319258	-2.0539546654957648
ERR2092248	-1.6237320572915523
ERR1075824	-1.550504367303448
ERR2697676	-2.088755017088352
ERR2032567	-1.802590204045919
ERR1842297	-2.118035587847056
ERR1074994	-1.8947702128069202
ERR1842145	-1.9380272038147717
ERR1075302	-1.7516552666587353
ERR1845919	-1.9634670811399844
ERR1073679	-1.9313127373367753
ERR2318002	-2.0319154641183377
ERR1842204	-1.9248837530337397
ERR1080380	-1.63821387907209
ERR2032741	-1.691930620455701
ERR1854707	-2.0403757972443692
ERR1842581	-1.1699732317417035
ERR1846210	-1.8023118900417732
ERR2697663	-1.845374361973322
ERR1459162	-1.705955068211476
ERR2092081	-1.5355865364749708
ERR2696472	-1.6978378278983226
ERR1076704	-1.9180439745166917
ERR1249879	-1.865601542587903
ERR2032214	-1.4651069677461401
ERR2032570	-1.6689537828436471
ERR1080155	-1.1681716945624467
ERR2032936	-1.9680005834943746
ERR1249993	-1.8352564798911588
ERR2697947	-1.9128401603930933
ERR2056881	-2.07397672522389
ERR1080105	-1.9314449963586455
ERR1842462	-1.9063432665691697
ERR1458906	-2.161208712256325
ERR2304041	-1.9286408222344935
ERR2319362	-2.115759063853844
ERR2314209	-1.7700997567778787
ERR1315990	-1.6425959135387187
ERR2579972	-1.7168480823814163
ERR1091565	-1.8627598864977
ERR1846057	-1.6236303472012033
ERR1316002	-1.681981343505448
ERR2309377	-2.218321383406677
ERR2523873	-1.759358819547759
ERR2314195	-1.5401637168165028
ERR2304092	-1.7021680982831562
ERR1073865	-1.335077448876914
ERR2523946	-1.9207150814174356
ERR1846046	-1.6797807020955218
ERR1073798	-2.1364637138270677
ERR1073664	-1.9159331936501272
ERR2579939	-1.628264758100152
ERR1459111	-1.3909098232918167
ERR1842176	-1.7366849889571585
ERR2404975	-1.6951897346868372
ERR1075624	-1.816080667562578
ERR2405233	-2.1432647158430136
ERR2314038	-1.7745469462498886
ERR2304040	-1.916394467811442
ERR1842842	-1.6408349368383013
ERR1074893	-1.6251598849111892
ERR1091514	-1.9153387328313318
ERR1075981	-1.5018429990632107
ERR1076864	-1.84795075491326
ERR2308706	-1.5771356546436406
ERR1075811	-1.7935314622400915
ERR2033227	-1.4414551570240397
ERR2306089	-1.8342998177395375
ERR1315946	-1.6533671358361932
ERR2319488	-1.423607311608562
ERR2579635	-2.0412144543869135
ERR2696579	-2.1393604895238405
ERR1091452	-2.1672032878180825
ERR2319323	-1.9695419843635702
ERR2032820	-1.8428315154134272
ERR1076826	-1.958896405106006
ERR2032337	-1.8235301684315892
ERR1389932	-1.8520129153362146
ERR1073758	-1.6278241956025028
ERR2579523	-2.0788499410984973
ERR1091304	-1.3918066407463707
ERR2092267	-1.9267824618919474
ERR1074587	-1.7691215507917457
ERR1678478	-1.8501645311362513
ERR2092536	-1.8591882012761183
ERR2697743	-1.8463951990254592
ERR1459040	-2.060980852601038
ERR2579694	-1.7787952705667025
ERR2057161	-1.9913422289583618
ERR2523971	-2.1976399165202167
ERR1842625	-1.335173712334903
ERR2405395	-2.254759770426919
ERR1841518	-1.9525867039621299
ERR1091355	-1.5877573281900366
ERR2579719	-2.0404112901828393
ERR2696669	-2.1424188007408347
ERR1389697	-1.9579367164841073
ERR2314370	-1.64112640611933
ERR1842552	-2.020880710962557
ERR2091848	-2.2367107077942507
ERR1076858	-1.9029874044147257
ERR2697605	-1.6267889714192634
ERR1842766	-1.677135783287688
ERR2405196	-1.9444138619945026
ERR1845825	-1.9962037365228382
ERR2319734	-2.1554175682167394
ERR2696609	-1.5758815956747758
ERR1389934	-1.9907562531084109
ERR1250570	-1.574017964740342
ERR2579935	-1.6270878672686655
ERR1845932	-1.7237674121664983
ERR1073782	-1.5741491623122437
ERR1842272	-1.4885499043885504
ERR2405402	-1.9823741556111347
ERR1842595	-1.6370471474645865
ERR2308916	-1.930387289772754
ERR1091594	-1.7983185872718297
ERR1073459	-1.5993810678654496
ERR1250595	-1.8241311955938257
ERR2580104	-1.4930258333669721
ERR1458931	-1.8957636838301437
ERR1073760	-1.9834794809247618
ERR1842637	-1.8678266937846966
ERR1597055	-1.6816889864817686
ERR1389854	-1.3834425882521841
ERR2092728	-2.0250652539581298
ERR2696560	-2.1461868601500025
ERR1842328	-1.1714415559117048
ERR1074859	-1.5117925167746131
ERR1841827	-1.6359125118751383
ERR1075248	-1.9885673797847878
ERR2579409	-1.9012681591108807
ERR2579388	-1.8678329329040881
ERR1074161	-1.829480458612013
ERR1458974	-1.6744776761609346
ERR2405176	-2.060412753797017
ERR1846018	-1.8393131413481365
ERR1250038	-1.2826349841468505
ERR2523985	-1.9869088117465736
ERR2092102	-2.1152148621295095
ERR1074407	-1.779816900424171
ERR1315880	-1.8490046494734773
ERR1459140	-1.8067293237576108
ERR1842152	-1.4095958718628971
ERR2696564	-1.8685890755994226
ERR1091351	-2.1463780764661005
ERR1597060	-1.7727641934455585
ERR1074496	-1.5483699000820068
ERR2579761	-1.85411684682218
ERR2092348	-1.9164801880189366
ERR2303831	-1.7325926402874858
ERR2319576	-1.3975313062739272
ERR2304154	-1.7559936922490016
ERR1250538	-1.9687809579589435
ERR1842337	-2.092490261598647
ERR1845859	-1.4570162594311962
ERR1842902	-1.6849398891930065
ERR1075018	-1.4054230094576077
ERR2303842	-2.0208350560053794
ERR1074814	-1.8605975422995014
ERR1080236	-1.9994213085810024
ERR1390000	-2.1267604903289277
ERR2579780	-1.7784540630770975
ERR1075231	-1.6903631896716103
ERR2304122	-1.8843552152841856
ERR1315904	-1.9537022757107816
ERR2697794	-2.103679605271797
ERR1845171	-1.8392684411915154
ERR1842742	-1.9291194754904855
ERR1074850	-1.8196073036390064
ERR1091378	-1.9222288853270628
ERR2319601	-1.2695925560694024
ERR1845820	-2.1223559281960744
ERR1074004	-2.02625871050328
ERR1249670	-2.07150420120735
ERR1091685	-1.9982955431539893
ERR2314359	-1.7083631104193537
ERR1076862	-1.794473091780017
ERR1846061	-1.543201492987048
ERR1074052	-1.8912340671147256
ERR2579857	-1.9711216130014382
ERR2579753	-1.7382503532956175
ERR1074578	-2.0733455265980436
ERR2032555	-1.930246800903439
ERR1073960	-1.9912141484330579
ERR1842897	-1.8256110322490553
ERR1458713	-1.229189901053184
ERR2308710	-2.204902028688108
ERR1842911	-1.4369047410497962
ERR2696674	-1.7487916453647738
ERR2238661	-1.5405678137507404
ERR1842150	-2.039562071261901
ERR1854741	-1.5296103628199715
ERR1075479	-1.3509188864527122
ERR2032410	-1.634682040654301
ERR1846081	-1.8224954912086682
ERR2319355	-1.8664465236296275
ERR1389636	-1.488619417983397
ERR1389998	-1.9818145107876621
ERR2318301	-1.3364770813367028
ERR2303949	-1.491329162523203
ERR2032443	-1.4363182890623012
ERR2314208	-1.8284413555321084
ERR2523931	-1.8538450311603432
ERR1249900	-1.2027418664250804
ERR2319529	-1.7351974477613412
ERR2091849	-2.0219121063977825
ERR1846187	-1.8280704811713888
ERR2032925	-1.5069229734932683
ERR1389841	-1.9424840310719835
ERR2057078	-1.388772428782816
ERR2523951	-1.739567529903532
ERR1073844	-1.6859773161431233
ERR2314244	-1.622276164699849
ERR2696573	-2.166162089826107
ERR1842376	-1.3666957442316359
ERR1678480	-1.6229095254442485
ERR1075958	-1.767723115852486
ERR2696692	-1.9072624128170779
ERR1846007	-1.9655155975013718
ERR1841730	-1.8124219971822633
ERR2696581	-2.0687697299212613
ERR1075105	-1.7586427207875244
ERR2579689	-1.7687407491377005
ERR1842237	-2.159744221216207
ERR2092055	-1.4362554697331922
ERR1076823	-1.3456535916634853
ERR2697914	-1.5262757536975229
ERR2314094	-1.8912031691093967
ERR2314090	-1.4942646409471854
ERR2696494	-2.183072226628574
ERR2697620	-1.4696823589036658
ERR1842807	-1.9834540991605518
ERR1842399	-1.1131460672991915
ERR2032418	-2.103836327118499
ERR1316123	-1.9639433408959397
ERR1076706	-2.238049121425307
ERR2697967	-2.041146113131307
ERR2032753	-1.7028502190235677
ERR2057228	-2.0010995425992206
ERR1080178	-1.9454634945399256
ERR2091892	-2.2935377684700216
ERR1846041	-1.6772255867589174
ERR2308512	-1.3800356741935222
ERR1075605	-1.8603870393563289
ERR1075976	-1.8737373669390682
ERR2304008	-1.7906953274719326
ERR1597066	-2.019186202701607
ERR1073973	-1.8599830615879074
ERR2303806	-1.8290925970053982
ERR2579406	-1.772773893526361
ERR1389865	-1.7197446997301888
ERR2318033	-2.2947597482525013
ERR1073716	-1.835942026353755
ERR2319410	-1.5322578091791876
ERR1080141	-1.391869633291349
ERR1845980	-1.3821359185928135
ERR1076665	-1.1965122385644118
ERR2697745	-1.7687070418685036
ERR1458737	-2.1741586094073297
ERR1075872	-2.062274829701207
ERR2318014	-1.352670190213918
ERR1846053	-1.9963031134631035
ERR2033467	-2.051670091385033
ERR1389751	-1.799398028482589
ERR1073839	-1.1566883581362133
ERR2314177	-1.193507987854024
ERR1458888	-1.8212517581977858
ERR2405326	-1.9768010270004033
ERR1074401	-1.249837192745583
ERR1842260	-2.2189957248801955
ERR2091854	-1.7467318821769642
ERR2524179	-1.9420217571695455
ERR1316038	-1.704896921281097
ERR1596999	-2.172065940802887
ERR2309418	-1.5411346851946996
ERR2404960	-1.6400312040110963
ERR1845745	-1.9132995873962075
ERR1074207	-1.791001068136642
ERR2309322	-1.6127292211025883
ERR1458895	-1.5770093875587592
ERR2698052	-1.759137143948368
ERR1842366	-1.9634894953441266
ERR1075119	-1.7699257430811475
ERR2318061	-1.8257775645995196
ERR1842596	-1.6235660092115
ERR2318066	-2.061015875141033
ERR1079995	-1.426929995182865
ERR1077114	-1.6901004740204364
ERR1389858	-1.476523626546983
ERR1075048	-1.9115390693907734
ERR1845798	-1.6966148271863544
ERR1076849	-2.007457264046047
ERR2404984	-2.093071450389866
ERR1074852	-1.3275904212249348
ERR2092112	-1.4320175460683553
ERR2319301	-1.0737135449939457
ERR2309378	-1.6996584933829142
ERR2697858	-1.5991467774933743
ERR2032522	-2.1356995968244874
ERR1843636	-1.4248624640421876
ERR1076832	-1.927854622768479
ERR2308890	-1.7797679936385924
ERR2697622	-1.6109739397485692
ERR2697920	-1.8239764449604856
ERR1845834	-1.738470230065035
ERR1074210	-1.1459773896784022
ERR1075091	-1.8066240093102433
ERR2092186	-1.4778373642638558
ERR1854663	-1.2025705150206174
ERR1074290	-1.469111076651845
ERR1316165	-1.8930656354944695
ERR2092468	-1.3472888846011177
ERR2697827	-1.9787727021042028
ERR2698037	-1.6705741427130816
ERR2304118	-1.3178100550718628
ERR2313983	-1.8279509986773403
ERR1074150	-1.3680565092025083
ERR1458848	-1.7558191897243423
ERR1073675	-2.0207947868772456
ERR2318164	-2.0817971825016257
ERR1316105	-1.855472613854024
ERR2698035	-1.1657097333049984
ERR2318186	-1.9006850236375181
ERR1249881	-2.101775172920104
ERR1250098	-1.9166375131512345
ERR2309422	-1.7248584584534097
ERR1459092	-1.1160834167217666
ERR2303875	-1.5718188515958738
ERR1315832	-1.5859093333490393
ERR1316263	-1.8109101973626256
ERR2033622	-1.585027865142837
ERR1075062	-1.3115755660502693
ERR1842374	-1.4859810983553805
ERR2696512	-1.7551973873517537
ERR2319446	-2.1896156383640677
ERR1074439	-1.4925560852728081
ERR2314162	-1.3405648400036831
ERR2092069	-1.8675894144965415
ERR1315824	-1.8944188033852587
ERR1389669	-1.9709675987325437
ERR1854666	-2.2831450160380133
ERR1074624	-1.7125626008184245
ERR1080114	-1.441621877095534
ERR2091997	-2.2989670850990294
ERR2697950	-1.951954318109508
ERR1842732	-2.0438085112365982
ERR2308554	-1.6395496241050256
ERR2032194	-1.8456383971637982
ERR2304060	-1.6191068926175738
ERR2579866	-1.7061431365264283
ERR1075070	-2.188857344266811
ERR2313988	-1.8806147114692569
ERR1842131	-1.8601941378044415
ERR2308834	-0.9933276613797897
ERR1074601	-1.9450607865859575
ERR2092090	-1.4946075847680955
ERR2696484	-1.7513361752733385
ERR1842791	-1.9618680865631908
ERR2092246	-1.4521015108195114
ERR1845942	-1.2885970851386581
ERR1091375	-1.840608793450884
ERR1842409	-1.9908083654715196
ERR1842439	-1.731193869679863
ERR1846215	-2.164648355640427
ERR1080012	-1.480194180463063
ERR1597083	-2.179785403603888
ERR2405348	-1.721167941460516
ERR1074770	-2.157366734494206
ERR2308780	-1.9736478172765708
ERR2303840	-2.050690612143311
ERR1073560	-1.4705251641371153
ERR2698038	-2.028494083370629
ERR1678451	-1.576531155157351
ERR1846181	-1.677396603248381
ERR2697938	-1.7395964689397607
ERR2405010	-1.7558801968925515
ERR1316155	-1.7523692148050194
ERR1091684	-2.062749112071167
ERR1074777	-1.91199693322947
ERR1091359	-1.3658252992156612
ERR2314322	-2.1309943245291416
ERR2696543	-1.8647984238824558
ERR2303924	-1.6647716602558849
ERR1842696	-1.5555468973576674
ERR1075127	-2.010879668464203
ERR2697734	-1.989580012870834
ERR1073956	-1.7899873743944514
ERR1080282	-1.8859621747631607
ERR1075937	-2.0432339425651227
ERR1389836	-1.9599197895559954
ERR1074335	-1.9495779471466794
