SampleID	Dysbiosis_index
ERR2061305	-1.3912295523178106
ERR2061488	-1.9242572563377296
ERR2061274	-1.6275633969142291
ERR2061560	-2.1004455852249526
ERR2061540	-1.9832336868025284
ERR2061473	-1.8282877953679926
ERR2061406	-1.6412731614187528
ERR2061309	-1.2259868208763514
ERR2061360	-1.4465719863700788
ERR2061264	-1.3676507448174555
ERR2061537	-2.012115610223221
ERR2061232	-1.1590892960866315
ERR2061302	-1.3164088305066775
ERR2061570	-1.770103058911817
ERR2061304	-1.097097081415742
ERR2061508	-2.126104828002953
ERR2061509	-2.0079714416521037
ERR2061203	-1.1494409745405625
ERR2061457	-1.838157260927803
ERR2061310	-1.7896205585523317
ERR2061231	-1.8218591079029902
ERR2061451	-1.7157440511978228
ERR2061517	-2.074584426784773
ERR2061342	-1.4174669412143481
ERR2061196	-1.3869252860228574
ERR2061291	-1.7884499029660341
ERR2061484	-2.002949702630678
ERR2061536	-2.3194284028363255
ERR2061546	-1.4890504853767281
ERR2061470	-1.9328671962847739
ERR2061327	-1.3085082739525582
ERR2061550	-2.135650577355426
ERR2061353	-1.4087248721055787
ERR2061533	-1.9826107117563063
ERR2061573	-2.1447763746992248
ERR2061375	-1.0966630786205411
ERR2061545	-1.164561663305174
ERR2061317	-1.3956600151336764
ERR2061218	-1.3182886436379557
ERR2061505	-1.3730764735350702
ERR2061544	-1.0670452779785606
ERR2061446	-1.588075689805093
ERR2061323	-1.4011207578558842
ERR2061554	-1.8743503678098192
ERR2061452	-1.9010066329464463
ERR2061497	-1.8690306884717718
ERR2061571	-1.8627263252883777
ERR2061482	-1.5745398575359073
ERR2061296	-2.0045305035017518
ERR2061467	-1.4582772342032286
ERR2061253	-1.3150613272466782
ERR2061211	-1.4471023131535463
ERR2061438	-1.9965276202927618
ERR2061493	-1.8973231627179452
ERR2061292	-1.5491931294905716
ERR2061337	-1.2346563388657286
ERR2061419	-1.3062223935296822
ERR2061516	-2.1150246980661067
ERR2061300	-1.2662328767922229
ERR2061346	-1.4017384629634015
ERR2061522	-1.6605976309103319
ERR2061461	-1.89246833985106
ERR2061559	-2.1714204621237214
ERR2061513	-1.7919245480862125
ERR2061351	-1.3587177841139253
ERR2061331	-1.4722092934476312
ERR2061354	-1.2382638487962163
ERR2061324	-1.8130795853629844
ERR2061333	-1.1543882273924848
ERR2061477	-1.6120140531491376
ERR2061290	-1.4865220213269008
ERR2061200	-1.1857102532850254
ERR2061569	-1.4327282374451247
ERR2061344	-1.3701170448665436
ERR2061563	-1.4238084081711466
ERR2061280	-1.4419480776234956
ERR2061515	-1.570891587286515
ERR2061480	-1.846190955379257
ERR2061528	-1.6255627834063882
ERR2061307	-1.3112721748590201
ERR2061183	-1.6803652412697727
ERR2061190	-1.5633955325570226
ERR2061335	-1.7082687398224075
ERR2061298	-1.3932341163303992
ERR2061486	-1.0978574322438945
ERR2061233	-1.3063912175520649
ERR2061293	-1.4880505281664267
ERR2061462	-1.3867270905554863
ERR2061258	-1.257831438764378
ERR2061460	-1.4275484623501744
ERR2061471	-1.91628871326996
ERR2061465	-1.577456212593935
ERR2061534	-2.0935628541518567
ERR2061520	-1.9917927891227634
ERR2061472	-1.1191555769931494
ERR2061527	-1.7347963218412128
ERR2061269	-1.4792245511976723
ERR2061481	-1.8615706684639
ERR2061329	-1.2566024626786938
ERR2061444	-1.9733155365892732
ERR2061492	-1.4656773142697477
ERR2061475	-1.4436695307094598
ERR2061474	-1.349274294241404
ERR2061567	-1.3609124894959637
ERR2061261	-1.0853508516803636
ERR2061562	-1.5037475489194805
ERR2061376	-1.1832941996902844
ERR2061357	-1.61665193069993
ERR2061234	-1.25765584281607
ERR2061458	-1.762577856086002
ERR2061241	-1.5630259473232484
ERR2061294	-1.604531208361861
ERR2061442	-1.1938163679270892
ERR2061557	-1.9336849639949063
ERR2061393	-1.482119671312161
ERR2061362	-1.000113232481095
ERR2061479	-1.8752132462958548
ERR2061549	-2.0364053562765116
ERR2061246	-1.1438357725736517
ERR2061340	-1.2182821999790872
ERR2061320	-1.5322005345097804
ERR2061436	-1.480287394831408
ERR2061312	-1.5883201780904477
ERR2061377	-1.356566952910173
ERR2061501	-1.610662032164316
ERR2061214	-1.5167552066173784
ERR2061489	-1.6482292830914531
ERR2061441	-1.6457949641823988
ERR2061499	-1.8673713716982627
ERR2061282	-1.224601010439616
ERR2061350	-1.2236528812944556
ERR2061352	-1.1993665687026072
ERR2061359	-1.6604518797348087
ERR2061566	-1.4146359095464032
ERR2061356	-1.313749048943654
