SampleID	Dysbiosis_index
SRR1693209	-1.8677696814125386
SRR1687063	-2.13212561107825
SRR1690743	-1.160678235810141
SRR1765937	-2.1610339256156417
SRR1693204	-2.30885813079301
SRR1765911	-2.462998046824056
SRR1687098	-1.7142617990508506
SRR1687061	-1.6992205273060834
SRR1766058	-2.4812863241891505
SRR1765940	-2.1495484478127316
SRR1693231	-2.290189805176608
SRR1687056	-1.5641012866854311
SRR1765996	-2.4486352421838298
SRR1766055	-2.247790608551376
SRR1690153	-1.6724289893306483
SRR1766060	-2.433462835470492
SRR1693229	-1.6416365188541608
SRR1766064	-2.4638174517235303
SRR1687172	-1.4394154454765598
SRR1765992	-1.5889331122028567
SRR1687050	-1.7180819342248967
SRR1765999	-2.186427899678644
SRR1766050	-2.1896085736307676
SRR1766027	-2.2251705215313864
SRR1766066	-1.8058011276999582
SRR1765989	-2.1188265912429975
SRR1690896	-2.1400633266630766
SRR1765998	-1.6314133989596682
SRR1687427	-2.1428642764295414
SRR1689572	-1.7950644812500096
SRR1693212	-2.3183416544577855
SRR1693258	-2.0113545695517687
SRR1765915	-1.7305592521143316
SRR1693220	-2.257600845752395
SRR1687174	-2.2772234107991425
SRR1689859	-1.7764615811991131
SRR1766062	-2.4203124585049927
SRR1687009	-1.8940137290196837
SRR1766011	-2.4040289460720037
SRR1689254	-1.3830747001635402
SRR1766005	-2.0548810695030917
SRR1687173	-2.0673646863486828
SRR1765956	-1.7546408432947507
SRR1687042	-2.064276373068037
SRR1687446	-1.9499842902292723
SRR1693216	-1.463713986871557
SRR1693254	-2.2270868823042766
SRR1766069	-2.147476164007915
SRR1687064	-1.9520228457294961
SRR1689515	-1.8902905268432972
SRR1689821	-1.5623367231415823
SRR1687095	-1.793169602454772
SRR1687452	-2.2817720131451615
SRR1766000	-2.1146645427779687
SRR1765985	-2.273298214184308
SRR1687097	-1.8540113900218151
SRR1687067	-2.4293726617125166
SRR1766016	-2.3073799554043846
SRR1693215	-1.9462828657410605
SRR1765921	-2.1315616909809254
SRR1687049	-1.964796395673606
SRR1693221	-2.126651852427408
SRR1687171	-1.7102022963884345
SRR1687041	-1.2383968318375416
SRR1765943	-1.5204534500162057
SRR1765952	-1.6453029222013582
SRR1765945	-2.4282695470415128
SRR1687456	-1.5974788469246355
SRR1766046	-1.9721553553845812
SRR1693210	-2.1515514911905496
SRR1765954	-1.5176419098556388
SRR1766080	-2.4374711829367492
SRR1690963	-2.053315764192116
SRR1766076	-1.6280909327800066
SRR1765942	-2.20073903839838
SRR1693200	-1.8846326171440029
SRR1687460	-2.276883332784126
SRR1765930	-1.0927003565298554
SRR1765995	-2.116928552866184
SRR1693203	-1.2029728553655807
SRR1766006	-2.1081609802496493
SRR1766070	-2.17504076498833
SRR1693255	-2.5955285633675773
SRR1687039	-1.7382937623124814
SRR1690840	-2.2852437218979067
SRR1687043	-1.3795019863018851
SRR1765912	-1.9601615934112602
SRR1693228	-2.5161579492964994
SRR1765919	-1.4711307388654709
SRR1766003	-2.316103846220435
SRR1693202	-2.2886963173930663
SRR1693224	-1.9405186856065502
SRR1686980	-2.0863647997987353
SRR1690046	-1.6220597489177957
SRR1693211	-1.5240518889163084
SRR1687425	-1.9467664249339407
SRR1687059	-2.1668231404216574
SRR1693207	-1.4139323510626252
SRR1689635	-2.231917358134804
SRR1687055	-2.040913829751955
SRR1689535	-1.5807605603707247
SRR1693199	-2.0227693887781393
SRR1693225	-1.8330620721474153
SRR1765923	-2.224769946399967
SRR1687045	-2.010880077535584
SRR1766007	-1.8319970141562147
SRR1766081	-2.1506417220635083
SRR1766009	-2.203363238967674
SRR1765928	-2.511331128306583
SRR1690581	-1.2593682087419644
SRR1686982	-1.1382980185166116
SRR1686981	-2.267373878509559
SRR1690640	-2.3335035548998873
SRR1765990	-2.28119749433743
SRR1766004	-1.6215447897118644
SRR1693205	-2.3074624071894108
SRR1765944	-2.3782764215852845
SRR1690468	-1.7057488545444757
SRR1687094	-1.6768355301293842
SRR1765917	-1.991534053159303
SRR1687044	-1.9106069664137886
SRR1693257	-2.136573375683424
SRR1687066	-2.2799197148752826
SRR1687430	-2.220263332196858
SRR1766074	-2.290756234762613
SRR1687065	-1.945673384185042
SRR1687040	-2.271671479649347
SRR1693218	-2.43588794984611
SRR1765931	-2.2124159655523257
SRR1693226	-2.0531385494707437
SRR1687047	-2.5802936720661216
SRR1765926	-1.544378423355195
SRR1766008	-1.691638545847853
SRR1689692	-1.6226970704957517
SRR1690354	-2.2670281199305307
SRR1687444	-2.1856372811105915
SRR1766082	-2.211236339308841
SRR1687068	-2.056963255568697
SRR1687058	-2.1869209800626987
SRR1766002	-2.1284686017656598
SRR1693198	-1.6272525474347643
SRR1766079	-2.012557114556987
SRR1766037	-2.2878218278359843
SRR1693259	-2.247798067037507
SRR1687096	-1.9883968815165662
SRR1690276	-1.8274683386708286
SRR1693219	-1.3940513439038398
SRR1766042	-1.8824633442227796
SRR1687052	-1.986849791842817
SRR1689401	-1.620925268247288
SRR1765993	-1.8248420613833378
SRR1693256	-2.301877104254197
SRR1689935	-1.5787025992136923
SRR1693208	-2.0453138615055186
SRR1693222	-2.236665730558779
SRR1689362	-2.429323609356444
SRR1766071	-2.216574302727301
SRR1766059	-2.6777517425165396
SRR1765941	-1.77109751865262
SRR1689291	-1.3523691102162956
SRR1766030	-2.0919629953501024
SRR1693214	-2.2546725407712525
SRR1687100	-2.1682967185574276
SRR1687458	-2.1672668468853633
SRR1687062	-2.3918348261174063
SRR1687442	-2.185979452023048
SRR1765997	-2.2368913433316395
SRR1693217	-2.0262861797570686
SRR1687069	-2.3498035591377664
SRR1765994	-2.6370976165864857
SRR1690429	-2.0254880896402505
SRR1687439	-1.8767474419010188
SRR1766078	-2.066249742072221
SRR1693206	-2.0031801655991415
