SampleID	Dysbiosis_index
SRR1693209	-2.126423362805726
SRR1687063	-3.2671538723431977
SRR1690743	0.6585655907611543
SRR1765937	-3.2962414512237133
SRR1693204	-4.151712198184282
SRR1765911	-4.997851533421423
SRR1687098	-1.5434432312828894
SRR1687061	-1.5013045716742468
SRR1766058	-5.864748927981443
SRR1765940	-3.007599815858161
SRR1693231	-3.6290708530110534
SRR1687056	-1.0940683243609086
SRR1765996	-4.954196310386875
SRR1766055	-4.042983170550746
SRR1690153	-1.4624320253497207
SRR1766060	-4.909178772203789
SRR1693229	-1.3147564394851077
SRR1766064	-4.976189038728931
SRR1687172	-0.12444737092448864
SRR1765992	-0.9100578746872018
SRR1687050	-1.616412139346209
SRR1765999	-3.0814740612065035
SRR1766050	-3.5820272096966095
SRR1766027	-3.894426630042463
SRR1766066	-1.9846792007162442
SRR1765989	-3.427082840939437
SRR1690896	-3.1218307132412675
SRR1765998	-1.3667823306716225
SRR1687427	-3.2962414512237133
SRR1689572	-1.940920767245978
SRR1693212	-8.784634845557521
SRR1693258	-2.78693908550351
SRR1765915	-1.62663168002223
SRR1693220	-3.748356503953074
SRR1687174	-5.38919132179204
SRR1689859	-1.7971157375527662
SRR1766062	-4.414310151120816
SRR1687009	-2.2638808095194904
SRR1766011	-5.646476889933861
SRR1689254	-0.26144114775812666
SRR1766005	-2.5730096979593906
SRR1687173	-3.079118717117603
SRR1765956	-1.7408595102706974
SRR1687042	-2.7660585056865328
SRR1687446	-2.4116940562044737
SRR1693216	-0.7512321632392545
SRR1693254	-3.985382903927818
SRR1766069	-3.2671538723431977
SRR1687064	-2.4977113069502384
SRR1689515	-2.2337971846086973
SRR1689821	-1.0940683243609086
SRR1687095	-1.940920767245978
SRR1687452	-4.12528847343994
SRR1766000	-2.8425443505199044
SRR1765985	-3.774304955990709
SRR1687097	-1.9902189792074145
SRR1687067	-5.747582701540235
SRR1766016	-4.151712198184282
SRR1693215	-2.371788609414087
SRR1765921	-3.094402224715622
SRR1687049	-2.741202587052677
SRR1693221	-3.207157907641288
SRR1687171	-1.5762715404571117
SRR1687041	0.5365010117645113
SRR1765943	-0.8883546441710909
SRR1765952	-1.3133320711989773
SRR1765945	-4.909178772203789
SRR1687456	-1.200196675222252
SRR1766046	-2.4771336203707564
SRR1693210	-2.7706548180217854
SRR1765954	-1.0374747054186628
SRR1766080	-4.457314677625196
SRR1690963	-2.6573294780529966
SRR1766076	-1.3352424481682432
SRR1765942	-3.6111147885771246
SRR1693200	-2.049803555920614
SRR1687460	-3.8248423487864454
SRR1765930	1.82742054511171
SRR1765995	-3.037929455632322
SRR1693203	0.9910668752299924
SRR1766006	-3.037929455632322
SRR1766070	-2.7389138659557277
SRR1693255	-6.014274130982118
SRR1687039	-1.6547839502187278
