SampleID	Dysbiosis_index
SRR1693209	-5.873271015998634
SRR1687063	-6.3213457502964
SRR1690743	0.8435674446314888
SRR1765937	-7.772504740744301
SRR1693204	-7.333633700012102
SRR1765911	-10.166613437350767
SRR1687098	-5.879613633184077
SRR1687061	-5.022339005267478
SRR1766058	-11.43084217259893
SRR1765940	-7.1682542856968405
SRR1693231	-6.340754403279293
SRR1687056	-4.110683153701717
SRR1765996	-9.81209820985665
SRR1766055	-7.60012003566887
SRR1690153	-4.167555659100497
SRR1766060	-9.932822949793358
SRR1693229	-5.435559116366602
SRR1766064	-8.291759365064324
SRR1687172	-3.5087913011711613
SRR1765992	-6.389613567170688
SRR1687050	-4.491035592676129
SRR1765999	-7.719402214414016
SRR1766050	-8.678065548944476
SRR1766027	-8.497684767957171
SRR1766066	-5.582796949301082
SRR1765989	-7.5360819288485255
SRR1690896	-6.507559742101762
SRR1765998	-5.368554689509347
SRR1687427	-7.445280431177094
SRR1689572	-3.2366685009773213
SRR1693212	-12.096385491220701
SRR1693258	-7.415240044326516
SRR1765915	-5.999525491621554
SRR1693220	-8.358267582273147
SRR1687174	-9.245597740730862
SRR1689859	-4.9762850809499515
SRR1766062	-9.234300878864236
SRR1687009	-6.833396534801177
SRR1766011	-10.890039627788388
SRR1689254	-4.116178524646691
SRR1766005	-7.585575985266267
SRR1687173	-7.51588075208116
SRR1765956	-4.5143104917908525
SRR1687042	-3.671722792950309
SRR1687446	-7.178767727860858
SRR1693216	-3.336484585375838
SRR1693254	-8.679450707513547
SRR1766069	-8.551446270561689
SRR1687064	-8.128578137566457
SRR1689515	-6.078049900817878
SRR1689821	-3.4232545260618195
SRR1687095	-3.060520124889825
SRR1687452	-9.109969536186536
SRR1766000	-7.779394431251066
SRR1765985	-7.344694186114943
SRR1687097	-5.8937481233022515
SRR1687067	-10.184266478999982
SRR1766016	-9.321590496118937
SRR1693215	-6.3473615909108165
SRR1765921	-7.370154929073747
SRR1687049	-6.678544338562025
SRR1693221	-8.391722020985215
SRR1687171	-5.264412204818157
SRR1687041	0.5887530166695469
SRR1765943	-5.362060233074137
SRR1765952	-5.009629289013004
SRR1765945	-9.592732641512246
SRR1687456	-4.873682186287977
SRR1766046	-6.199437623695061
SRR1693210	-8.055077029851317
SRR1765954	-3.0365912332229192
SRR1766080	-9.515975939277356
SRR1690963	-5.1415352089658635
SRR1766076	-5.2729273149615254
SRR1765942	-8.41432881355965
SRR1693200	-4.882492051926719
SRR1687460	-9.31024244428616
SRR1765930	-2.0339648527075855
SRR1765995	-8.22052154325436
SRR1693203	-3.3559169242597298
SRR1766006	-6.3903691760402355
SRR1766070	-5.266837884569402
SRR1693255	-10.118286235332562
SRR1687039	-7.377393297330753
SRR1690840	-5.581710082856131
SRR1687043	-1.8211338529357601
SRR1765912	-6.779028777312542
SRR1693228	-12.121059887517536
SRR1765919	-2.02768069519664
SRR1766003	-8.431926752146794
SRR1693202	-7.839657713451966
SRR1693224	-5.990242681340712
SRR1686980	-6.753090983306935
SRR1690046	-3.606817865121318
SRR1693211	-5.401170935596688
SRR1687425	-3.029457356353125
SRR1687059	-7.086503792224267
SRR1693207	2.3799272230636537
SRR1689635	-9.329054554842187
SRR1687055	-7.227308141640782
SRR1689535	-4.240165597105495
SRR1693199	-5.693322926068017
SRR1693225	-8.105656629859965
SRR1765923	-9.217253690989402
SRR1687045	-7.097412918361305
SRR1766007	-5.993313249441449
SRR1766081	-9.15527563803234
SRR1766009	-10.019179937993696
SRR1765928	-12.822411288850612
SRR1690581	-0.7334595197206673
SRR1686982	-0.58556670187709
SRR1686981	-9.826014982210578
SRR1690640	-9.052578356945995
SRR1765990	-7.360613114814313
SRR1766004	-2.744533740949747
SRR1693205	-8.212312439404746
SRR1765944	-6.825101525379071
SRR1690468	-4.821018550438533
SRR1687094	-4.943128717251105
SRR1765917	-5.121384593734619
SRR1687044	-7.327619040648891
SRR1693257	-8.588972654975795
SRR1687066	-7.712744777258806
SRR1687430	-6.098687007716238
SRR1766074	-8.747564564639728
SRR1687065	-7.920711054057664
SRR1687040	-8.172769482291933
SRR1693218	-9.421979733881564
SRR1765931	-7.02253968623722
SRR1693226	-6.045359675959768
SRR1687047	-13.206195441470225
SRR1765926	-5.72646722103593
SRR1766008	-5.441997482261182
SRR1689692	-4.3531233986286555
SRR1690354	-7.075637669287982
SRR1687444	-7.731243291812567
SRR1766082	-8.957240466200808
SRR1687068	-8.213202909403226
SRR1687058	-7.637334812059044
SRR1766002	-7.842913212690761
SRR1693198	-5.328553336574792
SRR1766079	-5.29562471800062
SRR1766037	-10.319086824281635
SRR1693259	-8.416495519338527
SRR1687096	-8.390643510319668
SRR1690276	-4.944685298456313
SRR1693219	-0.7626393733397678
SRR1766042	-6.295215648358278
SRR1687052	-6.471992792960123
SRR1689401	-1.757649056009701
SRR1765993	-4.948524464129219
SRR1693256	-10.28500788848228
SRR1689935	-6.251216415656713
SRR1693208	-7.672579524858222
SRR1693222	-7.548936019640536
SRR1689362	-9.962623764134737
SRR1766071	-4.0778319882223775
SRR1766059	-14.798700258439764
SRR1765941	-5.471501312703069
SRR1689291	-1.4836665585743012
SRR1766030	-7.156557904478124
SRR1693214	-7.177043388987877
SRR1687100	-7.499029332239366
SRR1687458	-4.763966137967993
SRR1687062	-6.611492202539647
SRR1687442	-7.221533442606796
SRR1765997	-8.047469864906882
SRR1693217	-6.730029934082647
SRR1687069	-7.007830183238222
SRR1765994	-12.5165620709184
SRR1690429	-6.753220783081214
SRR1687439	-7.0154047081231425
SRR1766078	-3.652099122866806
SRR1693206	-6.369902513738943
