sample ID	type	age	_sample_id	_calour_original_abundance
SRR1211116	HC	child	SRR1211116	4241.0
SRR1212295	HC	child	SRR1212295	6280.0
SRR1212791	HC	child	SRR1212791	28813.0
SRR1212661	HC	child	SRR1212661	50045.0
SRR1212662	HC	child	SRR1212662	14455.0
SRR1212494	HC	child	SRR1212494	3858.0
SRR1212548	HC	child	SRR1212548	5126.0
SRR1212668	HC	child	SRR1212668	29534.0
SRR1212557	HC	child	SRR1212557	2448.0
SRR1213731	HC	child	SRR1213731	15132.0
SRR1212677	HC	child	SRR1212677	24555.0
SRR1211514	HC	child	SRR1211514	4703.0
SRR1212820	HC	child	SRR1212820	26528.0
SRR1211532	HC	child	SRR1211532	9065.0
SRR1212600	HC	child	SRR1212600	42801.0
SRR1211656	HC	child	SRR1211656	10519.0
SRR1211697	HC	child	SRR1211697	13153.0
SRR1211722	HC	child	SRR1211722	1877.0
SRR1212614	HC	child	SRR1212614	46420.0
SRR1213809	HC	child	SRR1213809	17957.0
SRR1212168	HC	child	SRR1212168	3324.0
SRR1212701	HC	child	SRR1212701	31528.0
SRR1212838	HC	child	SRR1212838	18446.0
SRR1213812	HC	child	SRR1213812	23453.0
SRR1213813	HC	child	SRR1213813	12309.0
SRR1212840	HC	child	SRR1212840	26539.0
SRR1213825	HC	child	SRR1213825	19350.0
SRR1212708	HC	child	SRR1212708	19657.0
SRR1212636	HC	child	SRR1212636	15165.0
SRR1212649	HC	child	SRR1212649	17112.0
SRR1214074	HC	child	SRR1214074	22790.0
SRR1213841	HC	child	SRR1213841	66367.0
SRR1214084	HC	child	SRR1214084	21912.0
SRR1212775	HC	child	SRR1212775	19637.0
SRR1213972	HC	child	SRR1213972	49675.0
SRR1213161	HC	child	SRR1213161	30990.0
SRR1214097	HC	child	SRR1214097	99095.0
SRR1213888	HC	child	SRR1213888	30125.0
SRR1214112	HC	child	SRR1214112	19044.0
SRR1214266	HC	child	SRR1214266	19701.0
SRR1214121	HC	child	SRR1214121	30630.0
SRR1214022	HC	child	SRR1214022	30298.0
SRR1214030	HC	child	SRR1214030	4285.0
SRR1214384	HC	child	SRR1214384	58786.0
SRR1215301	HC	child	SRR1215301	13702.0
SRR1214291	HC	child	SRR1214291	2984.0
SRR1215305	HC	child	SRR1215305	28560.0
SRR1214138	HC	child	SRR1214138	17256.0
SRR1215307	HC	child	SRR1215307	35411.0
SRR1214052	HC	child	SRR1214052	21393.0
SRR1214399	HC	child	SRR1214399	81533.0
SRR1215343	HC	child	SRR1215343	56084.0
SRR1214170	HC	child	SRR1214170	18165.0
SRR1214303	HC	child	SRR1214303	21755.0
SRR1215370	HC	child	SRR1215370	16012.0
SRR1214446	HC	child	SRR1214446	17082.0
SRR1214458	HC	child	SRR1214458	27109.0
SRR1215421	HC	child	SRR1215421	54437.0
SRR1214224	HC	child	SRR1214224	31512.0
SRR1214229	HC	child	SRR1214229	32515.0
SRR1533960	HC	child	SRR1533960	7773.0
SRR1533962	HC	child	SRR1533962	8542.0
SRR1214506	HC	child	SRR1214506	27431.0
SRR1566402	HC	child	SRR1566402	13883.0
SRR1534027	HC	child	SRR1534027	31405.0
SRR1566408	HC	child	SRR1566408	26370.0
SRR1533964	HC	child	SRR1533964	95954.0
SRR1214902	HC	child	SRR1214902	22869.0
SRR1566419	HC	child	SRR1566419	12139.0
SRR1533966	HC	child	SRR1533966	23203.0
SRR1564985	HC	child	SRR1564985	23849.0
SRR1214934	HC	child	SRR1214934	38676.0
SRR1565059	HC	child	SRR1565059	4378.0
SRR1533971	HC	child	SRR1533971	47559.0
SRR1566452	HC	child	SRR1566452	8171.0
SRR1566541	HC	child	SRR1566541	23175.0
SRR1566470	HC	child	SRR1566470	21648.0
SRR1566485	HC	child	SRR1566485	19699.0
SRR1567182	HC	child	SRR1567182	9535.0
SRR1533979	HC	child	SRR1533979	61556.0
SRR1567191	HC	child	SRR1567191	5492.0
SRR1567149	HC	child	SRR1567149	13192.0
SRR1567150	HC	child	SRR1567150	6898.0
SRR1567457	HC	child	SRR1567457	4002.0
SRR1565199	HC	child	SRR1565199	86518.0
SRR1533987	HC	child	SRR1533987	33034.0
SRR1567163	HC	child	SRR1567163	22768.0
SRR1567222	HC	child	SRR1567222	9903.0
SRR1567589	HC	child	SRR1567589	10391.0
SRR1565294	HC	child	SRR1565294	10624.0
SRR1567225	HC	child	SRR1567225	14374.0
SRR1567231	HC	child	SRR1567231	5963.0
SRR1533988	HC	child	SRR1533988	142001.0
SRR1567239	HC	child	SRR1567239	4406.0
SRR1567532	HC	child	SRR1567532	6342.0
SRR1567240	HC	child	SRR1567240	8234.0
SRR1567269	HC	child	SRR1567269	24746.0
SRR1566372	HC	child	SRR1566372	2949.0
SRR1566380	HC	child	SRR1566380	27725.0
SRR1566395	HC	child	SRR1566395	19167.0
SRR1567629	HC	child	SRR1567629	9650.0
SRR1574271	HC	child	SRR1574271	10408.0
SRR1567638	HC	child	SRR1567638	10998.0
SRR1534005	HC	child	SRR1534005	55704.0
SRR1635653	HC	child	SRR1635653	31631.0
SRR1534008	HC	child	SRR1534008	44155.0
SRR1567760	HC	child	SRR1567760	10799.0
SRR1567761	HC	child	SRR1567761	9176.0
SRR1635716	HC	child	SRR1635716	18899.0
SRR1567769	HC	child	SRR1567769	17232.0
SRR1567691	HC	child	SRR1567691	13565.0
SRR1635774	HC	child	SRR1635774	33084.0
SRR1567773	HC	child	SRR1567773	9082.0
SRR1635804	HC	child	SRR1635804	19886.0
SRR1636302	HC	child	SRR1636302	14501.0
SRR2061841	HC	child	SRR2061841	108193.0
SRR1211068	disease	child	SRR1211068	9079.0
SRR1212249	disease	child	SRR1212249	9796.0
SRR1211090	disease	child	SRR1211090	4574.0
SRR1212272	disease	child	SRR1212272	12451.0
SRR1211117	disease	child	SRR1211117	2065.0
SRR1212788	disease	child	SRR1212788	25929.0
SRR1212435	disease	child	SRR1212435	5605.0
SRR1212440	disease	child	SRR1212440	3024.0
SRR1212660	disease	child	SRR1212660	21981.0
SRR1213703	disease	child	SRR1213703	58015.0
SRR1212456	disease	child	SRR1212456	2610.0
SRR1212469	disease	child	SRR1212469	3254.0
SRR1212800	disease	child	SRR1212800	25907.0
SRR1213710	disease	child	SRR1213710	22496.0
SRR1212801	disease	child	SRR1212801	17811.0
SRR1212508	disease	child	SRR1212508	3730.0
SRR1212510	disease	child	SRR1212510	4575.0
SRR1212802	disease	child	SRR1212802	21008.0
SRR1211167	disease	child	SRR1211167	31372.0
SRR1212529	disease	child	SRR1212529	5148.0
SRR1211178	disease	child	SRR1211178	2934.0
SRR1212666	disease	child	SRR1212666	41219.0
SRR1212542	disease	child	SRR1212542	3829.0
SRR1213715	disease	child	SRR1213715	18011.0
SRR1212551	disease	child	SRR1212551	7343.0
SRR1212553	disease	child	SRR1212553	5523.0
SRR1212804	disease	child	SRR1212804	42305.0
SRR1211180	disease	child	SRR1211180	27199.0
SRR1212558	disease	child	SRR1212558	2219.0
SRR1212562	disease	child	SRR1212562	7135.0
SRR1211466	disease	child	SRR1211466	16577.0
SRR1212674	disease	child	SRR1212674	18315.0
SRR1211477	disease	child	SRR1211477	9591.0
SRR1212568	disease	child	SRR1212568	20752.0
SRR1211478	disease	child	SRR1211478	2585.0
SRR1212814	disease	child	SRR1212814	19885.0
SRR1212676	disease	child	SRR1212676	17634.0
SRR1211489	disease	child	SRR1211489	7263.0
SRR1212588	disease	child	SRR1212588	15469.0
SRR1212815	disease	child	SRR1212815	26489.0
SRR1211503	disease	child	SRR1211503	2672.0
SRR1212678	disease	child	SRR1212678	18784.0
SRR1212816	disease	child	SRR1212816	23765.0
SRR1211516	disease	child	SRR1211516	17630.0
SRR1212590	disease	child	SRR1212590	51017.0
SRR1212818	disease	child	SRR1212818	28325.0
SRR1211519	disease	child	SRR1211519	8860.0
SRR1213735	disease	child	SRR1213735	34632.0
SRR1212680	disease	child	SRR1212680	20453.0
SRR1213761	disease	child	SRR1213761	11715.0
SRR1212682	disease	child	SRR1212682	17347.0
SRR1212823	disease	child	SRR1212823	12793.0
SRR1213763	disease	child	SRR1213763	20522.0
SRR1211615	disease	child	SRR1211615	6219.0
SRR1212684	disease	child	SRR1212684	11404.0
SRR1212824	disease	child	SRR1212824	24514.0
SRR1211618	disease	child	SRR1211618	12345.0
SRR1211630	disease	child	SRR1211630	5070.0
SRR1211640	disease	child	SRR1211640	1560.0
SRR1212690	disease	child	SRR1212690	18079.0
SRR1212826	disease	child	SRR1212826	20784.0
SRR1211649	disease	child	SRR1211649	11870.0
SRR1212692	disease	child	SRR1212692	23016.0
SRR1211659	disease	child	SRR1211659	7868.0
SRR1212611	disease	child	SRR1212611	21867.0
SRR1212612	disease	child	SRR1212612	18151.0
SRR1211679	disease	child	SRR1211679	2010.0
SRR1212697	disease	child	SRR1212697	19487.0
SRR1212827	disease	child	SRR1212827	54465.0
SRR1212698	disease	child	SRR1212698	13187.0
SRR1211689	disease	child	SRR1211689	4995.0
SRR1212832	disease	child	SRR1212832	19503.0
SRR1212700	disease	child	SRR1212700	38469.0
SRR1213808	disease	child	SRR1213808	56525.0
SRR1212836	disease	child	SRR1212836	14316.0
SRR1212228	disease	child	SRR1212228	9807.0
SRR1212241	disease	child	SRR1212241	1839.0
SRR1212615	disease	child	SRR1212615	35755.0
SRR1212702	disease	child	SRR1212702	30115.0
SRR1213917	disease	child	SRR1213917	33543.0
